# name	resolves_to (verified by the checker; '-' = nothing to verify)	reason
G.det	Matrix.det	dot notation on a local matrix variable G, not a constant name
G.trace	Matrix.trace	dot notation on a local matrix variable G, not a constant name
G.PosDef	Matrix.PosDef	dot notation on a local matrix variable G, not a constant name
Foo	-	placeholder name in the Lean primer (ch34), defined in the example itself
Mathlib.Meta.NormNum	Mathlib.Meta.NormNum.isNat_ofNat	Mathlib namespace, quoted from the theorem atlas
IsNatPowT.bit0	Mathlib.Meta.NormNum.IsNatPowT.bit0	short form of a Mathlib norm_num internal, quoted from the theorem atlas
ModularGroup	ModularGroup.exists_smul_mem_fd	Mathlib namespace
M.det_one	StringTheory.Frontier.MobiusTransform.det_one	field access on a local hypothesis M : MobiusTransform, inside a quoted tactic call
Tier.A	SocrateAI.Epistemic.Tier.A	constructor, quoted with its namespace opened; constructors are absent from the dependency dump
Tier.B	SocrateAI.Epistemic.Tier.B	constructor, quoted with its namespace opened
Tier.L	SocrateAI.Epistemic.Tier.L	constructor, quoted with its namespace opened
conjTranspose_mul_mul_same	Matrix.PosSemidef.conjTranspose_mul_mul_same	short form, quoted from code with `open Matrix` and dot notation on a PosSemidef hypothesis
direct	SocrateAI.Epistemic.Depends.direct	constructor of Depends, named as in a `match` on it
elan	-	name of the Lean toolchain installer, not a declaration
flux	-	local variable (a natural number) in a quoted statement, ch25
hDW	-	local hypothesis name in quoted proof text, ch26
gradV	-	local function variable in a quoted statement, ch27
hFix	-	local hypothesis name in quoted proof text, ch34
ginv	-	local variable in a quoted statement, ch35
h23	-	local hypothesis name in a quoted statement, ch35
grep	-	shell command, not a declaration
linear_combination	-	Mathlib tactic name (ch04), not a declaration
levelMatched	-	exercise-defined name (ch07 exercise 'level matching as a predicate'), not in the library
momentumMassSq_eq	-	exercise statement the student is asked to state and prove (ch07), not in the library
phi	-	integer variable in quoted statements (ch09), not a declaration
isODD_transpose	-	exercise statement the student is asked to prove (ch11), not in the library
neumann_iff_dirichlet_tdual	-	ch13 §'A formalization exercise': explicitly stated to be not part of the compiled library
numNeumann	-	exercise-defined name (ch13 exercise), not in the library
tdual	-	ch13 §'A formalization exercise': exercise definition, explicitly not in the library
tdual_involutive	-	ch13 §'A formalization exercise': explicitly stated to be not part of the compiled library
only	-	part of the tactic 'simp only' (ch15), not a declaration
sigIIB	-	exercise-defined name (ch23 exercise 'define sigIIB ...'), not in the library
sigIIB.index	-	field of the exercise-defined sigIIB (ch23), not in the library
sigIIB.rank	-	field of the exercise-defined sigIIB (ch23), not in the library
planeCharge	-	exercise-defined name (ch25 exercise 'define planeCharge ...'), not in the library
planes	-	exercise-defined name (ch25 exercise 'define planes ...'), not in the library
s1.den	-	field access on a local variable s1 (ch32), not a declaration
s1.num	-	field access on a local variable s1 (ch32), not a declaration
s2.den	-	field access on a local variable s2 (ch32), not a declaration
s2.num	-	field access on a local variable s2 (ch32), not a declaration
thm₂	-	placeholder in an anonymous-constructor example (ch33), not a declaration
noncomputable	-	Lean keyword (ch34), not a declaration
rintro	-	Lean tactic (ch34), not a declaration
sigK3.index	DualScaleStream2.Lattice.sigK3	field .index (DualScaleStream2.Lattice.Signature.index) of the real definition sigK3, cited by short name (ch34)
thetaShift_isODD_iff	-	exercise statement the student is asked to prove (ch34 'the converse'), not in the library
trace_nonneg	Matrix.PosSemidef.trace_nonneg	Mathlib lemma used by dot notation hpsd.trace_nonneg in a quoted proof (ch34)
v4.33.1	-	toolchain/Mathlib version string (ch34, ch35), not a declaration
v4.33.0	-	toolchain version string (ch35), not a declaration
ledger.jsonl	-	file name (ch35), not a declaration
maxHeartbeats	-	Lean option (ch35), not a declaration
maxRecDepth	-	Lean option (ch35), not a declaration
olean	-	compiled-file extension (ch35), not a declaration
require	-	lakefile keyword (ch35), not a declaration
statement_text	-	Python function in tools/statement_lock.py (ch35), not a Lean declaration
strip_comments	-	Python function in tools/axiom_audit.py and tools/statement_lock.py (ch35), not a Lean declaration
step	-	name of an induction case (ch35), not a declaration
sync_epistemic_claims	-	Python function in leanautoresearch/engine.py quoted from LL.md §0.5 (ch35), not a Lean declaration
info.type.getUsedConstants	Lean.Expr.getUsedConstants	Lean meta API call on a local ConstantInfo `info` in tools/lean_depgraph.lean (ch36)
isNat_mul	Mathlib.Meta.NormNum.isNat_mul	norm_num internal lemma cited by short name (ch36)
isNat_pow	Mathlib.Meta.NormNum.isNat_pow	norm_num internal lemma cited by short name (ch36)
k3_betti_1	-	hypothetical named constant in a ch36 exercise ('why a version with named constants k3_betti_1 ... would be more informative'); does not exist, and the text says so implicitly
k3_betti_3	-	hypothetical named constant in a ch36 exercise (as k3_betti_1); does not exist
rec	-	recursor suffix .rec (ch36), not a declaration
run_cmd	-	Lean command (ch36), not a declaration
sigK3.rank	DualScaleStream2.Lattice.sigK3	field .rank (DualScaleStream2.Lattice.Signature.rank) of the real definition sigK3, cited by short name (ch36)
slope	DualScaleCosmology.Stream7CB.slope	Stream7CB.slope cited by short name (ch41); ambiguous with Mathlib's slope in the checker's probe
