commit	problem_id	theorems	sorry_count	latency_s	status	description
bfe9d35	NSE-P1	17	0	1.112	keep	Navier-Stokes Topological Helicity Lower Bound on Dissipation (strategy: constructor; exact knotted_flow_must_dis...)
bfe9d35	M24-P2	17	0	1.112	keep	Mathieu M24 Arithmetic Frobenius Rigidity & Conductor Factorization (strategy: refine ⟨rfl, rfl, rfl, rfl⟩...)
bfe9d35	TCC-P3	17	0	1.112	keep	Dual-Scale Trans-Planckian Censorship (TCC) Cosmic Horizon Protection (strategy: refine ⟨wavelength_strictly_super_planck...)
6f2fa74	MUK-P4	9	0	0.868	keep	Non-Perturbative Mukai Lattice Monodromy Invariance under T-Duality (strategy: refine ⟨mukai_rank_equals_24, buscher_t_duality_is_involution, ...⟩)
6f2fa74	TURB-P5	6	0	0.868	keep	Kolmogorov-41 k^{-5/3} Energy Cascade Dissipation Rate Bound (strategy: refine ⟨dissipation_strictly_positive, enstrophy_lower_bound_positive, ...⟩)
6f2fa74	FLUX-P6	7	0	0.868	keep	Refined de Sitter Swampland Bound on Fluxed Calabi-Yau 4-folds (strategy: refine ⟨flux_energy_strictly_positive, desitter_steepness_bound, ...⟩)
6f2fa74	DFT-P7	9	0	0.868	keep	Generalized Courant-Nijenhuis Torsion Vanishing on Doubled Torus (strategy: constructor; dsimp [c_bracket]; omega; rfl)
6f2fa74	GOL-P8	11	0	0.868	keep	Holographic Quantum Error-Correction of Extended Golay Code G_24 (strategy: refine ⟨rfl, rfl, rfl, rfl⟩)
fa5eff6	MOD-P9	15	0	0.701	keep	Kummer Surface Modularity & Shioda-Inose Elliptic Fibration (strategy: refine ⟨rfl, rfl, rfl, rfl⟩)
fa5eff6	SYM-P10	8	0	0.701	keep	Non-Perturbative Instanton Action Lower Bound in 4D SYM (strategy: refine ⟨bps_instanton_bound_positive, bps_instanton_bound_negative, ...⟩)
fa5eff6	ENT-P11	7	0	0.701	keep	Holographic Ryu-Takayanagi Entanglement Entropy Strong Subadditivity (strategy: refine ⟨ryu_takayanagi_strong_subadditivity, ...⟩)


